rank,score,regime,size,seed,cluster_count_min,cluster_count_max,cluster_size_min,cluster_size_max,removed_min,removed_max,open_cells,optimal_moves,optimal_overlap,snake_moves,spiral_moves,heuristic_gap,turn_count,turn_density,move_entropy,spatial_turn_entropy,bridges,articulations,dead_ends,choice_points,alt_optima_fraction,alt_optima_probed
103,0.5811,medium_clusters,14,20,3,4,6,12,0.3,0.4,175,177,3,199,197,0.113,114,0.644,1.993,3.094,4,4,1,160,,0
104,0.5808,medium_clusters,10,38,3,4,6,12,0.3,0.4,77,78,2,91,93,0.167,58,0.744,1.959,3.021,3,3,2,63,,0
105,0.5783,dispersed,14,4,12,25,1,2,0.18,0.28,174,175,2,230,194,0.109,109,0.623,1.980,3.148,2,2,2,157,,0
106,0.5743,medium_clusters,8,12,3,4,6,12,0.3,0.4,48,50,3,65,65,0.300,32,0.640,1.943,2.988,3,4,1,28,,0
107,0.5736,default,12,25,4,6,6,12,0.2,0.4,122,124,3,166,168,0.339,64,0.516,1.993,3.038,8,8,3,106,,0
108,0.5729,medium_clusters,8,6,3,4,6,12,0.3,0.4,49,51,3,78,61,0.196,34,0.667,1.950,2.984,4,5,2,37,,0
109,0.5729,default,14,22,4,7,7,14,0.2,0.4,167,169,3,197,218,0.166,96,0.568,1.977,3.081,10,9,5,146,,0
110,0.5728,medium_clusters,14,18,3,4,6,12,0.3,0.4,172,173,2,210,194,0.121,114,0.659,1.990,3.129,0,0,0,155,,0
111,0.5722,single_mass,10,36,1,2,25,60,0.25,0.35,86,86,1,123,129,0.430,48,0.558,1.972,3.005,5,6,2,74,,0
112,0.5715,default,10,4,3,5,5,10,0.2,0.4,85,86,2,102,100,0.163,55,0.640,1.989,3.113,1,1,1,74,,0
113,0.5711,default,10,49,3,5,5,10,0.2,0.4,84,84,1,123,110,0.310,49,0.583,1.985,3.105,0,0,0,69,,0
114,0.5701,default,8,48,2,4,4,8,0.2,0.4,54,56,3,69,70,0.232,33,0.589,1.956,3.057,5,6,3,44,,0
115,0.5642,default,8,44,2,4,4,8,0.2,0.4,53,54,2,63,67,0.167,37,0.685,1.997,2.895,9,9,4,40,,0
116,0.5624,medium_clusters,10,11,3,4,6,12,0.3,0.4,80,82,3,145,130,0.585,44,0.537,1.961,3.041,5,5,2,63,,0
117,0.5611,default,8,13,2,4,4,8,0.2,0.4,52,52,1,93,65,0.250,31,0.596,1.981,2.971,6,6,1,40,,0
118,0.5597,medium_clusters,12,15,3,4,6,12,0.3,0.4,131,130,0,169,144,0.108,86,0.662,1.976,3.126,1,1,1,121,,0
119,0.5583,single_mass,8,46,1,2,25,60,0.25,0.35,42,42,1,51,53,0.214,28,0.667,1.939,2.856,4,4,1,31,,0
120,0.5582,dispersed,14,36,12,25,1,2,0.18,0.28,176,177,2,231,204,0.153,105,0.593,1.990,3.141,0,0,0,156,,0
121,0.5568,default,10,36,3,5,5,10,0.2,0.4,83,83,1,114,101,0.217,52,0.627,1.995,3.022,2,2,1,63,,0
